,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
nl_counters/fn-counters__instance_14_25.smt2,timeout,63020,105980,timeout,63015,106308,,,timeout,63018,105964,,,timeout,63016,135000,timeout,63096,2047344
nl_counters/fn-counters__instance_8_15.smt2,timeout,63233,1559480,timeout,63013,20268,,,timeout,63018,20300,,,timeout,63025,75092,timeout,63110,2162376
nl_counters/fn-counters__instance_2_100.smt2,timeout,63015,24420,timeout,63019,24396,,,timeout,63016,24428,,,timeout,63023,138784,timeout,63089,1943116
nl_counters/fn-counters__instance_4_75.smt2,timeout,63026,47960,timeout,63015,46840,,,timeout,63017,46872,,,timeout,63037,116184,timeout,63174,2336968
nl_counters/fn-counters__instance_6_50.smt2,timeout,63022,54392,timeout,63016,53864,,,timeout,63015,53892,,,timeout,63017,119072,timeout,63239,2319200
nl_counters/fn-counters__instance_3_75.smt2,timeout,63016,30380,timeout,63017,30352,,,timeout,63015,30384,,,timeout,63026,164424,timeout,63116,2742920
nl_counters/fn-counters__instance_5_10.smt2,timeout,63053,886600,timeout,63043,884888,0.0,0.0,timeout,63052,888736,0.0,0.0,timeout,63016,39824,timeout,63315,2272436
nl_counters/fn-counters__instance_11_50.smt2,timeout,63031,184144,timeout,63021,184116,,,timeout,63022,184140,,,timeout,63028,201872,timeout,63116,2486672
nl_counters/fn-counters__instance_4_100.smt2,timeout,63020,69216,timeout,63019,68936,,,timeout,63025,68544,,,timeout,63031,173952,timeout,63163,2966060
nl_counters/fn-counters__instance_4_15.smt2,timeout,63079,1379032,timeout,63067,1382160,0.0,0.0,timeout,63075,1380436,0.0,0.0,timeout,63019,43648,timeout,63195,2304880
nl_counters/fn-counters__instance_10_10.smt2,timeout,63081,2074124,timeout,63108,2323900,0.0,0.0,timeout,63098,2069336,0.0,0.0,timeout,63015,78980,timeout,63143,2038004
nl_counters/fn-counters__instance_6_25.smt2,timeout,63018,23072,timeout,63015,23044,,,timeout,63014,23076,,,timeout,63040,89136,timeout,63124,2152944
nl_counters/fn-counters__instance_4_50.smt2,timeout,63018,28172,timeout,63017,28144,,,timeout,63024,28176,,,timeout,63040,141244,timeout,63150,3004024
nl_counters/fn-counters__instance_11_75.smt2,timeout,63032,369348,timeout,63027,369340,,,timeout,63028,367788,,,timeout,63031,285144,timeout,63108,2363216
nl_counters/fn-counters__instance_3_100.smt2,timeout,63020,42904,timeout,63013,42876,,,timeout,63013,42908,,,timeout,63020,122348,timeout,63187,2601940
nl_counters/fn-counters__instance_3_35.smt2,memout,26099,3994568,memout,28411,3994576,,,memout,27707,3994684,,,timeout,63021,65668,timeout,63110,2346772
