,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
kissing/kissing_4_4.smt2,timeout,63047,502264,timeout,63104,601044,0.0,0.0,timeout,63052,471456,0.0,0.0,timeout,63026,82784,sat,2138,94992
kissing/kissing_3_8.smt2,timeout,63028,306344,timeout,63028,471220,0.0,0.0,timeout,63027,380932,0.0,0.0,timeout,63022,187352,timeout,63063,1531216
kissing/kissing_3_6.smt2,timeout,63026,243992,timeout,63026,243976,0.0,0.0,timeout,63027,267536,0.0,0.0,timeout,63013,48192,timeout,63055,1034180
kissing/kissing_3_11.smt2,timeout,63025,121660,timeout,63020,100524,0.0,0.0,timeout,63017,130056,0.0,0.0,timeout,63017,188180,timeout,63090,2367188
kissing/kissing_4_9.smt2,timeout,63023,35704,timeout,63017,35828,0.0,0.0,timeout,63018,35056,0.0,0.0,timeout,63016,123276,timeout,63039,798476
kissing/kissing_4_3.smt2,timeout,63021,138408,sat,1518,10328,0.0,0.0,timeout,63022,107964,0.0,0.0,timeout,63020,149204,sat,925,56852
kissing/kissing_2_5.smt2,timeout,63017,102472,sat,303,6996,0.0,0.0,sat,210,7064,0.0,0.0,timeout,63014,29640,timeout,63034,388716
kissing/kissing_4_1.smt2,sat,57,5280,sat,42,5108,0.0,0.0,sat,22,5020,0.0,0.0,sat,39,15304,sat,125,18080
kissing/kissing_3_10.smt2,timeout,63018,138912,timeout,63021,138824,0.0,0.0,timeout,63020,48476,0.0,0.0,timeout,63017,188024,timeout,63094,2534412
kissing/kissing_4_24.smt2,timeout,63017,44888,timeout,63018,44624,0.0,0.0,timeout,63016,44228,0.0,0.0,timeout,63019,130612,timeout,63086,2750428
kissing/kissing_4_10.smt2,timeout,63019,36116,timeout,63015,36824,0.0,0.0,timeout,63018,36880,0.0,0.0,timeout,63019,266196,timeout,63038,572096
