,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
kissing/kissing_4_4.smt2,timeout,63021,56452,timeout,63025,104320,0.0,0.0,timeout,63033,51548,0.0,0.0,timeout,63023,134460,sat,226,25452
kissing/kissing_3_8.smt2,timeout,63025,200384,timeout,63021,200308,0.0,0.0,timeout,63032,200372,0.0,0.0,timeout,63021,162360,timeout,63087,1977784
kissing/kissing_3_6.smt2,timeout,63027,128808,timeout,63025,128592,0.0,0.0,timeout,63019,128664,0.0,0.0,timeout,63017,61736,sat,375,32676
kissing/kissing_3_11.smt2,timeout,63027,138936,timeout,63018,139308,0.0,0.0,timeout,63020,110924,0.0,0.0,timeout,63017,98428,timeout,63086,2176668
kissing/kissing_4_9.smt2,timeout,63023,33752,timeout,63020,31888,0.0,0.0,timeout,63016,35280,0.0,0.0,timeout,63017,123544,timeout,63088,1541404
kissing/kissing_4_3.smt2,timeout,63062,56768,sat,417,7608,0.0,0.0,sat,312,7672,0.0,0.0,timeout,63024,117632,sat,199,21304
kissing/kissing_2_5.smt2,timeout,63024,37492,sat,561,7808,0.0,0.0,sat,522,7872,0.0,0.0,timeout,63020,37116,timeout,63033,311808
kissing/kissing_4_1.smt2,sat,25,4944,sat,18,4896,0.0,0.0,sat,25,4968,0.0,0.0,sat,38,14656,sat,61,15728
kissing/kissing_3_10.smt2,timeout,63018,142776,timeout,63039,142992,0.0,0.0,timeout,63024,138308,0.0,0.0,timeout,63024,168068,timeout,63103,2559940
kissing/kissing_4_24.smt2,timeout,63020,43692,timeout,63020,43832,0.0,0.0,timeout,63015,43900,0.0,0.0,timeout,63019,130852,timeout,63112,2852732
kissing/kissing_4_10.smt2,timeout,63020,69964,timeout,63024,69900,0.0,0.0,timeout,63032,63248,0.0,0.0,timeout,63036,155704,timeout,63100,2007208
kissing/kissing_4_13.smt2,timeout,63019,32068,timeout,63018,32000,0.0,0.0,timeout,63016,39292,0.0,0.0,timeout,63016,124804,timeout,63080,1825512
kissing/kissing_4_5.smt2,timeout,63094,749292,timeout,63047,749220,0.0,0.0,timeout,63061,749296,0.0,0.0,timeout,63015,93840,sat,400,32704
kissing/kissing_2_1.smt2,sat,20,4924,sat,20,4868,0.0,0.0,sat,18,4936,0.0,0.0,sat,24,14656,sat,66,16932
kissing/kissing_4_8.smt2,timeout,63026,66448,timeout,63018,61372,0.0,0.0,timeout,63034,58820,0.0,0.0,timeout,63023,99896,sat,1572,92424
kissing/kissing_3_12.smt2,timeout,63024,127840,timeout,63020,127672,0.0,0.0,timeout,63019,127740,0.0,0.0,timeout,63019,188544,timeout,63108,2367916
kissing/kissing_2_6.smt2,timeout,63017,59996,timeout,63023,56356,0.0,0.0,timeout,63017,60024,0.0,0.0,timeout,63012,29528,timeout,63076,1767260
kissing/kissing_4_17.smt2,timeout,63020,35568,timeout,63017,43588,0.0,0.0,timeout,63016,42744,0.0,0.0,timeout,63024,98164,timeout,63065,2048596
kissing/kissing_4_22.smt2,timeout,63016,41688,timeout,63019,41180,0.0,0.0,timeout,63018,41728,0.0,0.0,timeout,63024,129532,timeout,63139,2445188
kissing/kissing_4_2.smt2,sat,167,7268,sat,106,6116,0.0,0.0,sat,84,6180,0.0,0.0,timeout,63015,104520,sat,94,17152
kissing/kissing_3_13.smt2,timeout,63023,153016,timeout,63019,121744,0.0,0.0,timeout,63026,153192,0.0,0.0,timeout,63020,168372,timeout,63071,1815260
kissing/kissing_3_1.smt2,sat,19,4936,sat,21,4876,0.0,0.0,sat,42,4948,0.0,0.0,sat,44,14924,sat,61,15220
kissing/kissing_2_4.smt2,sat,1013,14140,sat,225,6868,0.0,0.0,sat,232,6944,0.0,0.0,timeout,63012,34636,sat,67,18872
kissing/kissing_3_2.smt2,sat,49,5304,sat,34,5240,0.0,0.0,sat,27,5316,0.0,0.0,timeout,63011,33256,sat,71,18052
kissing/kissing_4_6.smt2,timeout,63025,58224,timeout,63015,32960,0.0,0.0,timeout,63024,34488,0.0,0.0,timeout,63019,122800,sat,724,45524
kissing/kissing_3_7.smt2,timeout,63023,43112,timeout,63019,42884,0.0,0.0,timeout,63018,42956,0.0,0.0,timeout,63019,182896,timeout,63072,1116208
kissing/kissing_2_7.smt2,timeout,63028,27932,timeout,63014,27644,0.0,0.0,timeout,63016,27976,0.0,0.0,timeout,63020,84708,timeout,63097,2110340
