,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,z3,z3,z3,z3,z3,z3,z3,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eq_conflict,output_constraints,visited_nodes,total_constraints,eliminated_by_eq,eliminated_vars,input_constraints,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,trivial_true,contains_disjunction,output_constraints,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,eliminated_vars,visited_nodes,input_constraints,total_constraints,eq_conflict,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,contains_disjunction,trivial_false,trivial_true,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_1-prop-3_first5,timeout,310.0,1009460,,,,,,,,,timeout,310.0,495012,,timeout,310.0,3970624,,,,,memout,305.0,153036,,,,,,,,,timeout,310.0,255624,,,,,292,99,5,0.2726712328767123,0.6506849315068494,0.4340447683498178,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_1-prop-3_last5,success,2.345,9100,0.0,287.0,5.0,10.0,0.0,5.0,292.0,1951.0,success,29.222,52928,287.0,success,0.283,88324,0.0,0.0,0.0,287.0,success,2.42,9332,0.0,287.0,5.0,0.0,292.0,0.0,0.0,2005.0,success,3.409,145300,297.0,1.0,0.0,0.0,292,99,5,0.2726712328767123,0.0102739726027397,0.4340447683498178,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_1-prop-3_random5,timeout,310.0,3976924,,,,,,,,,timeout,310.0,914116,,timeout,310.0,2749860,,,,,memout,305.0,158892,,,,,,,,,timeout,310.0,257508,,,,,292,99,5,0.2726712328767123,0.260958904109589,0.4340447683498178,0.56
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_2-prop-3_first5,timeout,310.0,747476,,,,,,,,,timeout,310.0,836976,,timeout,310.0,3970440,,,,,memout,305.0,104176,,,,,,,,,timeout,310.0,143616,,,,,253,86,5,0.2926264140656944,0.6482213438735178,0.4690008303349017,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_2-prop-3_last5,success,1.805,8680,0.0,248.0,5.0,10.0,0.0,5.0,253.0,1479.0,success,21.159,40540,248.0,success,0.278,80356,0.0,0.0,0.0,248.0,success,1.721,8932,0.0,248.0,5.0,0.0,253.0,0.0,0.0,1375.0,success,3.169,146464,258.0,1.0,0.0,0.0,253,86,5,0.2926264140656944,0.0118577075098814,0.4690008303349017,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_2-prop-3_random5,success,49.021,662184,0.0,30932.0,59.0,89681.0,0.0,5.0,253.0,45839.0,success,154.229,1236412,30932.0,success,128.98,3643640,0.0,0.0,1.0,378696.0,memout,305.0,692372,,,,,,,,,timeout,310.0,143068,,,,,253,86,5,0.2926264140656944,0.1399209486166008,0.4690008303349017,0.48
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_3-prop-3_first5,timeout,310.0,1011200,,,,,,,,,timeout,310.0,779088,,timeout,310.0,3913036,,,,,memout,305.0,126188,,,,,,,,,timeout,310.0,254904,,,,,271,92,5,0.2872277109867873,0.6494464944649446,0.4801980198019802,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_3-prop-3_last5,success,2.053,8976,0.0,266.0,5.0,10.0,0.0,5.0,271.0,1687.0,success,23.458,46020,266.0,success,0.289,86588,0.0,0.0,0.0,266.0,success,2.182,9236,0.0,266.0,5.0,0.0,271.0,0.0,0.0,1819.0,success,2.503,143944,276.0,1.0,0.0,0.0,271,92,5,0.2872277109867873,0.011070110701107,0.4801980198019802,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_3-prop-3_random5,timeout,310.0,1585536,,,,,,,,,timeout,310.0,168156,,invalid,189.315,4004172,,,,,memout,305.0,250456,,,,,,,,,timeout,310.0,254844,,,,,271,92,5,0.2872277109867873,0.2693726937269373,0.4801980198019802,0.6
