,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,only_qe_ms,eq_conflict,eliminated_vars,input_constraints,total_constraints,visited_nodes,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,contains_disjunction,output_constraints,trivial_true,answer,runtime,peak_memory_kbytes,input_constraints,output_constraints,only_qe_ms,total_constraints,eq_conflict,visited_nodes,eliminated_by_eq,eliminated_vars,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
12_variables/12_constraints/1_density_0,success,0.028,6608,0.0,1.0,0.0,0.0,6.0,6.0,9.0,5.0,success,0.095,3572,7.0,success,0.565,44976,0.0,0.0,1.0,0.0,success,0.028,6756,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1346153846153846,0.0833333333333333,0.081967213114754,0.1612903225806451
12_variables/12_constraints/1_density_1,success,0.028,6616,0.0,6.0,0.0,0.0,6.0,9.0,12.0,6.0,success,0.103,3516,9.0,success,0.159,45612,0.0,0.0,5.0,0.0,success,0.021,6756,9.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.173076923076923,0.0694444444444444,0.1229508196721311,0.1612903225806451
12_variables/12_constraints/1_density_2,success,0.021,6608,0.0,3.0,0.0,0.0,6.0,8.0,10.0,4.0,success,0.114,3500,7.0,success,0.156,45480,0.0,0.0,3.0,0.0,success,0.027,6784,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1538461538461538,0.1111111111111111,0.1157024793388429,0.2333333333333333
12_variables/12_constraints/1_density_3,success,0.059,6620,0.0,5.0,0.0,0.0,6.0,10.0,11.0,6.0,success,0.076,3544,7.0,success,0.164,45496,0.0,0.0,5.0,0.0,success,0.026,6768,10.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1987179487179487,0.0972222222222222,0.2459016393442623,0.2903225806451613
12_variables/12_constraints/1_density_4,success,0.019,6612,0.0,2.0,0.0,0.0,6.0,7.0,12.0,6.0,success,0.109,3704,7.0,success,0.175,43336,0.0,0.0,2.0,0.0,success,0.026,6784,7.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1474358974358974,0.1111111111111111,0.1065573770491803,0.2903225806451613
12_variables/12_constraints/1_density_5,success,0.021,6612,0.0,5.0,0.0,0.0,6.0,9.0,12.0,6.0,success,0.08,3760,9.0,success,0.162,45436,0.0,0.0,4.0,0.0,success,0.023,6756,9.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.141025641025641,0.0555555555555555,0.0491803278688524,0.0967741935483871
12_variables/12_constraints/1_density_6,success,0.035,6616,0.0,8.0,0.0,0.0,6.0,11.0,7.0,5.0,success,0.095,3488,9.0,success,0.241,43436,0.0,0.0,6.0,0.0,success,0.025,6764,11.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.2051282051282051,0.0416666666666666,0.1487603305785124,0.1
12_variables/12_constraints/1_density_7,success,0.029,6612,0.0,4.0,0.0,0.0,6.0,8.0,27.0,6.0,success,0.104,3560,9.0,success,0.209,43352,0.0,0.0,3.0,0.0,success,0.022,6784,8.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1538461538461538,0.0833333333333333,0.0991735537190082,0.1
12_variables/12_constraints/1_density_8,success,0.108,6464,0.0,1.0,0.0,0.0,6.0,6.0,6.0,4.0,success,0.125,3756,7.0,success,0.16,45368,0.0,0.0,1.0,0.0,success,0.02,6756,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1346153846153846,0.0833333333333333,0.1065573770491803,0.1935483870967742
12_variables/12_constraints/1_density_9,success,0.09,6608,0.0,3.0,0.0,0.0,6.0,6.0,11.0,6.0,success,0.137,3520,9.0,success,0.178,45384,0.0,0.0,3.0,0.0,success,0.018,6760,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.1282051282051282,0.0416666666666666,0.0661157024793388,0.1
