file,Module_check_count,Module_timer_add_total,Module_timer_check_total,Module_timer_remove_total,NewCoveringModule_backtracking_only_calls,NewCoveringModule_bound_samples,NewCoveringModule_covering_heuristic_type,NewCoveringModule_dimension,NewCoveringModule_incremental_and_backtracking_calls,NewCoveringModule_incremental_only_calls,NewCoveringModule_is_sample_outside_algorithm,NewCoveringModule_operator_type,NewCoveringModule_sampling_algorithm,NewCoveringModule_time_compute_covering_count,NewCoveringModule_time_compute_covering_overall_ms,NewCoveringModule_time_construct_derivation_count,NewCoveringModule_time_construct_derivation_overall_ms,NewCoveringModule_total_calls,NewCoveringModule_total_samples,NewCoveringModule_variable_ordering_type,SATModule<SATSettings1>_check_count,SATModule<SATSettings1>_timer_add_total,SATModule<SATSettings1>_timer_check_total,SATModule<SATSettings1>_timer_remove_total,SATModule_0_clauses,SATModule_0_decisions,SATModule_0_introduced_variables,SATModule_0_lemmas_learned,SATModule_0_mcsat_backjumpDecide,SATModule_0_mcsat_booleanConflict,SATModule_0_mcsat_booleanDecision,SATModule_0_mcsat_inconsistentTheoryDecision,SATModule_0_mcsat_insertedLazyExplanation,SATModule_0_mcsat_modelAssignmentCacheHit,SATModule_0_mcsat_theoryConflict,SATModule_0_mcsat_theoryDecision,SATModule_0_mcsat_usedLazyExplanation,SATModule_0_propagations,SATModule_0_restarts,SATModule_0_tseitin_variables,SATModule_0_variables,SATModule_0_variables_preferably_set_to_true,answer,cli_parsing_count,cli_parsing_overall_ms,exitcode,peak_memory_kbytes,runtime
20161105-Sturm-MBO/mbo_E1.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,134,1488488,12509
20161105-Sturm-MBO/mbo_E10.smt2,1,0,0,0,0,1,DEFAULT_COVERING,6,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,9,0,2,57379,1,7,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551608,0,,,,,,,,,,0,0,0,8,0,timeout,,,11,107376,63046
20161105-Sturm-MBO/mbo_E10E11.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,134,1741436,7756
20161105-Sturm-MBO/mbo_E10E12.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,7,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,153260,63052
20161105-Sturm-MBO/mbo_E10E13.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,7,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,1344056,63126
20161105-Sturm-MBO/mbo_E10E14.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,7,1,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,130912,63049
20161105-Sturm-MBO/mbo_E10E15.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,7,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,153148,63038
20161105-Sturm-MBO/mbo_E10E16.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,6,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,33080,63015
20161105-Sturm-MBO/mbo_E10E17.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,6,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,31052,63037
20161105-Sturm-MBO/mbo_E10E18.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,7,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,396888,63105
20161105-Sturm-MBO/mbo_E10E19.smt2,1,0,0,0,0,0,DEFAULT_COVERING,7,0,0,BOUND_FOCUS,mccallum,LOWER_UPPER_BETWEEN_SAMPLING_WITH_BOUNDS,6,0,0,0,1,6,GreedyMaxUnivariate,1,0,0,0,0,0,18446744073709551607,0,,,,,,,,,,0,0,0,9,0,timeout,,,11,30888,63038
20161105-Sturm-MBO/mbo_E10E20.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,390992,25534
20161105-Sturm-MBO/mbo_E10E21.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memout,,,12,262148,10890
